parentLocationId,parentLocationType,parentItemGovSystem,parentItemNumber,parentItemIndicator,parentItemChangeLevel,childItemGovSystem,childItemNumber,childItemIndicator,childItemChangeLevel,childLocationId,childLocationType,childLocationSplitPercent,childQuantity
DC1,StoresDC,SAP1,BodyBra,Finished,0,SAP1,Fabric,Raw,1,VietSupp,Supp,1,1
DC1,StoresDC,SAP1,BodyBra,Finished,0,SAP1,Underwire,Raw,1,VietSupp,Supp,1,1
DC1,StoresDC,SAP1,LoveCloudPanties,Finished,0,SAP1,waistband,Raw,1,MalaySupp,Supp,1,1
DC1,StoresDC,SAP1,LoveCloudPanties,Finished,0,SAP1,Fabric,Raw,1,VietSupp,Supp,1,1
DC1,StoresDC,SAP1,SportsBra,Finished,0,SAP1,Fabric,Raw,2,BrazilSupp,Supp,1,1
DC1,StoresDC,SAP1,SportsBra,Finished,0,SAP1,Underwire,Raw,1,MalaySupp,Supp,1,1
DC2,DirectDC,SAP1,BodyBra,Finished,0,SAP1,Fabric,Raw,1,VietSupp,Supp,1,1
DC2,DirectDC,SAP1,BodyBra,Finished,0,SAP1,Underwire,Raw,2,VietSupp,Supp,1,1
DC2,DirectDC,SAP1,LoveCloudPanties,Finished,0,SAP1,waistband,Raw,1,MalaySupp,Supp,1,1
DC2,DirectDC,SAP1,LoveCloudPanties,Finished,0,SAP1,Fabric,Raw,1,VietSupp,Supp,1,1
DC3,XDock,SAP2,Totebag,Finished,0,SAP2,LeatherBag,Raw,1,Guduvan,Supp,1,1
DC3,XDock,SAP2,Totebag,Finished,0,SAP2,Packaging,Raw,2,Guduvan,Supp,1,1
BrazilSupp,Supp,SAP1,Fabric,Raw,2,SAP1,Spandex,Raw,1,ChinaSupp,Supp,1,1
BrazilSupp,Supp,SAP1,Fabric,Raw,2,SAP1,Cups,Raw,1,ChinaSupp,Supp,1,2
VietSupp,Supp,SAP1,Fabric,Raw,1,SAP1,Spandex,Raw,1,ChinaSupp,Supp,1,1
DC1,StoresDC,SAP1,Intimate Apparel,Finished,0,SAP1,Intimate Apparel,Finished,0,Crystal Martin (Vietnam) Company Limited,Supp,1,1
DC1,StoresDC,SAP1,Intimate Apparel,Finished,0,SAP1,Intimate Apparel,Finished,0,Delta Galil Vietnam Co Ltd,Supp,1,1
DC1,StoresDC,SAP1,Apparel,Finished,0,SAP1,Apparel,Finished,0,Fashion Garments 2 Co Ltd - Tan Phu Branch,Supp,1,1
DC1,StoresDC,SAP1,Apparel,Finished,0,SAP1,Apparel,Finished,0,Fashion Garments 2 Co Ltd - Tan Phu Factory,Supp,1,1
DC1,StoresDC,SAP1,Apparel,Finished,0,SAP1,Apparel,Finished,0,Fashion Garments 2 Co Ltd - Unit 2 Factory,Supp,1,1
