locationId,locationType,itemGovSystem,itemNumber,itemIndicator,itemChangeLevel,itemLocationDescription
DC1,StoresDC,SAP1,BodyBra,Finished,0,BodyBra
DC1,StoresDC,SAP1,LoveCloudPanties,Finished,0,LoveCloudPanties
DC1,StoresDC,SAP1,SportsBra,Finished,0,SportsBra
DC1,StoresDC,SAP1,Apparel,Finished,0,BodyApparel
DC1,StoresDC,SAP1,Intimate Apparel,Finished,0,BodyIntimateApparel
DC1,StoresDC,SAP1,Apparel/Intimate Apparel,Finished,0,BodyApparel/IntimateApparel
DC2,DirectDC,SAP1,BodyBra,Finished,0,BodyBra
DC2,DirectDC,SAP1,LoveCloudPanties,Finished,0,LoveCloudPanties
DC2,DirectDC,SAP1,Apparel,Finished,0,BodyApparel
DC2,DirectDC,SAP1,Intimate Apparel,Finished,0,BodyIntimateApparel
DC2,DirectDC,SAP1,Apparel/Intimate Apparel,Finished,0,BodyApparel/IntimateApparel
DC3,XDock,SAP2,Totebag,Finished,0,Totebag
BrazilSupp,Supp,SAP1,Fabric,Raw,2,HiQ Fabroc
VietSupp,Supp,SAP1,Fabric,Raw,1,Regular Fabric
VietSupp,Supp,SAP1,Underwire,Raw,1,Regular UW
VietSupp,Supp,SAP1,Underwire,Raw,2,HiQ UW
MalaySupp,Supp,SAP1,Underwire,Raw,1,Regular UW
MalaySupp,Supp,SAP1,waistband,Raw,1,Regular Waistband
Guduvan,Supp,SAP2,LeatherBag,Raw,1,Regular bag
Guduvan,Supp,SAP2,Packaging,Raw,2,HiQ Packaging
ChinaSupp,Supp,SAP1,Spandex,Raw,1,Regular Spandex
ChinaSupp,Supp,SAP1,Cups,Raw,1,Regular cups
Crystal Martin (Vietnam) Company Limited,Supp,SAP1,Intimate Apparel,Finished,0,Body Intimate Apparel
Delta Galil Vietnam Co Ltd,Supp,SAP1,Intimate Apparel,Finished,0,Body Intimate Apparel
Fashion Garments 2 Co Ltd - Tan Phu Branch,Supp,SAP1,Apparel,Finished,0,Body Apparel
Fashion Garments 2 Co Ltd - Tan Phu Factory,Supp,SAP1,Apparel,Finished,0,Body Apparel
Fashion Garments 2 Co Ltd - Unit 2 Factory,Supp,SAP1,Apparel,Finished,0,Body Apparel
Fashion Garments Co Ltd - Tam Ky Factory,Supp,SAP1,Intimate Apparel,Finished,0,Body Intimate Apparel
Hansae TG Co Ltd - Factory 9,Supp,SAP1,Apparel,Finished,0,Body Apparel
Hansae Vietnam Co Ltd - Factory 12,Supp,SAP1,Apparel,Finished,0,Body Apparel
Pro Sports Giao Yen Garment Joint Stock Company,Supp,SAP1,Apparel,Finished,0,Body Apparel
An Hung Group Joint Stock Company,Supp,SAP1,Apparel,Finished,0,Body Apparel
Bando Vina Co Ltd - Factory 1 & 2,Supp,SAP1,Apparel,Finished,0,Body Apparel
Hansoll Vina Co Ltd,Supp,SAP1,Apparel,Finished,0,Body Apparel
Kotop Vina Co Ltd,Supp,SAP1,Apparel,Finished,0,Body Apparel
"Unisoll Vina Co Ltd (Factory 1,3,4,7)",Supp,SAP1,Apparel,Finished,0,Body Apparel
Regina Miracle International (Vietnam) Co Ltd - Factory A,Supp,SAP1,Intimate Apparel,Finished,0,Body Intimate Apparel
Regina Miracle International (Vietnam) Co Ltd - Factory C,Supp,SAP1,Intimate Apparel,Finished,0,Body Intimate Apparel
