locationId,locationType,locationERP,locationDescription,locationLatitude,locationLongitude,Address
DC1,StoresDC,SAP1,StoresDC,34.38,-88.89,"Reynoldsburg, OH, 43068"
DC2,DirectDC,SAP1,DirectDC,38.59,-81.99,"Reynoldsburg, OH, 43068"
DC3,XDock,SAP2,XDock,38.26,-84.53,"Los Angeles, CA, 90048"
VietSupp,Supp,SAP1,Top Fabric,22.64,-100.76,Viet Address
MalaySupp,Supp,SAP1,AllWaistBands,40.44,-81.76,Malay Address
BrazilSupp,Supp,SAP1,Stretch Fabrics,36.78,-119.93,Brazil Address
Guduvan,Supp,SAP2,Leather & Packaging,47.6,-122.33,India Address
ChinaSupp,Supp,SAP1,Spandex&Cups,23.22,56.33,China Address
Crystal Martin (Vietnam) Company Limited,Supp,SAP1,Intimate Apparel,21.21907,106.1093,"Lot R (R1) Quang Chau Industrial Zone, Viet Yen District"
Delta Galil Vietnam Co Ltd,Supp,SAP1,Intimate Apparel,37.680836,-97.270874,"Phu Kim village, Cat Trinh commune"
Fashion Garments 2 Co Ltd - Tan Phu Branch,Supp,SAP1,Apparel,10.853649,106.797829,"Road 6, Tan Phu Industrial Zone"
Fashion Garments 2 Co Ltd - Tan Phu Factory,Supp,SAP1,Apparel,10.853649,106.797829,"Road 3, Tan Phu Industrial Zone"
Fashion Garments 2 Co Ltd - Unit 2 Factory,Supp,SAP1,Apparel,10.92164,106.874142,Bien Hoa Industrial Zone 2
Fashion Garments Co Ltd - Tam Ky Factory,Supp,SAP1,Intimate Apparel,55.6295,37.01583,"Tam Thang Industrial Zone, Tam Thang Commune"
Hansae TG Co Ltd - Factory 9,Supp,SAP1,Apparel,35.194705,113.801485,"Lot BIII, BIII-25, BIII-26, Tan Huong Industrial Park, Tan Huong Town"
Hansae Vietnam Co Ltd - Factory 12,Supp,SAP1,Apparel,-25.863611,25.658611,"Lot D2, Tay Bac Cu Chi Industrial Zone, Cu Chi District, (fty located at KM 21, Trans-Asia Super Highway)"
Pro Sports Giao Yen Garment Joint Stock Company,Supp,SAP1,Apparel,20.248844,106.40801,"Hamlet 14, Giao Yen commune"
An Hung Group Joint Stock Company,Supp,SAP1,Apparel,18.91477,105.45228,"Km18+800, National Highway No.7A, Cong Thanh Commune, Yen Thanh District"
Bando Vina Co Ltd - Factory 1 & 2,Supp,SAP1,Apparel,11.28413,106.078156,"Thanh Phuoc Hamlet, Thanh Dien Village, Chau Thanh District"
Hansoll Vina Co Ltd,Supp,SAP1,Apparel,33.9299571,44.873195,"No. 6 Song Than 1 Industrial Park, Di An Ward"
Kotop Vina Co Ltd,Supp,SAP1,Apparel,42.424812,-71.06779,"No.9 Tam Phuoc Industrial Park, Tam Phuoc Ward"
"Unisoll Vina Co Ltd (Factory 1,3,4,7)",Supp,SAP1,Apparel,-3.4580085,30.4983043,"BI, BII, BIII, BIV Section, Giao Long Industrial Zone Phase II, An Phuoc Commune"
Regina Miracle International (Vietnam) Co Ltd - Factory A,Supp,SAP1,Intimate Apparel,20.917437,106.675106,"No.9 East West Road, VSIP Hai Phong Township, Industrial and Service Park, Duong Quan Commune, Thuy Nguyen District"
Regina Miracle International (Vietnam) Co Ltd - Factory C,Supp,SAP1,Intimate Apparel,,,"No. 9 East West Road, VSIP Hai Phong Township, Industrial and Service Park, Duong Quan Commune, Thuy Nguyen District (Land lot: IN3-2A2, IN3-2A3 & IN3-2*A4)"
Regina Miracle International (Vietnam) Co Ltd - Factory D,Supp,SAP1,Intimate Apparel,20.917437,106.675106,"No. 9 East West Road, VSIP Hai Phong Township, Industrial and Service Park, Duong Quan Commune, Thuy Nguyen District"
Regina Miracle International Hung Yen Company Limited,Supp,SAP1,Intimate Apparel,52.5170365,13.3888599,"Lot L6, Pho Noi B Textile and Garment Industrial Park, Di Su ward"
Bogart Lingerie (Thailand) Ltd,Supp,SAP1,Intimate Apparel,13.6131431,100.843228,"24/6 Moo 6, Bangna-Trad Rd, T. Bangsaothong, Aumphur Samutprakarn"
,Supp,SAP1,Intimate Apparel,,,
Thurulie Division,Supp,SAP1,Intimate Apparel,-2.5387539,140.703739,"No. 587, Soi 4/2 Export Processing Zone, Bang-Pa-In Industrial Estate, Bang Pa In"
Thai Progress Garment Company Limited,Supp,SAP1,Intimate Apparel,36.743415,-5.167801,"MAS Fabric Park, Kurunegala Road, Thulhiriya"
Bodyline (Private) Ltd (Bodyline I in Horana),Supp,SAP1,Intimate Apparel,37.168194,-3.599109,"Ratnapura Road, Gurugoda, Horana"
Bodyline (Private) Ltd (Bodyline II in Agalawatta),Supp,SAP1,Intimate Apparel,37.168194,-3.599109,"Kalawellawa Road, Pimbura, Agalawatta"
Bodyline (Private) Ltd (Bodyline III in Kakulandala),Supp,SAP1,Intimate Apparel,6.5423445,80.1573619,"Kakulandala, Agalawatta"
Brandix Apparel Solutions Ltd - Essentials (Rambukkana),Supp,SAP1,Intimate Apparel,7.1014836,80.0108205,Bandarawatta
Brandix Apparel Solutions Ltd - Fast Fashion (Avissawella),Supp,SAP1,Apparel,28.513836,77.197701,"Block F 1, Seethawaka Industrial Park"
Brandix Apparel Solutions Ltd - Fast Fashion (Mirigama 1),Supp,SAP1,Apparel,-39.691295,176.790344,"MEPZ, Loluwagoda, Mirigama"
Brandix Apparel Solutions Ltd - Fast Fashion (Mirigama 2),Supp,SAP1,Apparel,12.943477,80.120338,"Lot No.33, Mirigama Export Processing Zone, Mirigama"
Brandix Apparel Solutions Ltd - Fast Fashion (Ragama),Supp,SAP1,Apparel,-25.096447,-50.170773,"Ragama Road, Elapitiwala, Ragama"
Brandix Apparel Solutions Ltd - Lingerie (Wathupitiwela 1&2),Supp,SAP1,Intimate Apparel,7.128126,80.11489,"Lot No 1A1, IA2,14,15,18,20,21,22, Wathupitiwala, Export Processing Zone"
Compass International (Pvt) Ltd,Supp,SAP1,Intimate Apparel,8.2619434,80.413178,"Kudanelubewa, Hidogama"
Kolonna Manufacturing (Private) Limited,Supp,SAP1,Apparel,6.4648866,80.5087505,"23rd KM Post, Maduwanwela, Rakwana Road, Kolonna"
Unichela (Private) Limited,Supp,SAP1,Intimate Apparel,6.7103026,79.9125252,124 Horana Road
Unichela (Private) Limited - Biyagama (Rapid Division),Supp,SAP1,Intimate Apparel,5.9463714,80.5132818,"Lot #56, Zone A, Biyagama Export Processing Zone, Walgama, Malwana"
Unichela (Private) Limited - Kandy,Supp,SAP1,Intimate Apparel,7.2752251,80.7242136,"Kandy Industrial Park, Pallekele"
Unichela (Private) Limited (Slimline and Slenderline Division),Supp,SAP1,Intimate Apparel,7.3323183,80.0278438,"Kuliyapitiya Road, Pannala"
Unichela (Private) Limited - Koggala,Supp,SAP1,Intimate Apparel,5.998359,80.3078202,"EPZ Koggala, Habaraduwa"
Unichela (Private) Limited - Kuliyapitiya (Slimtex Division),Supp,SAP1,Intimate Apparel,7.472123,80.0446221,"No 134, Lionel Jayatilake Mawatha, Kuliyapitiya"
Unichela (Private) Limited - Mawathagama (Casualline),Supp,SAP1,Apparel,7.4337453,80.4577198,"Export Processing Zone, Mawathagama"
Intimark S. De R.L. De C.V. (Intimark I),Supp,SAP1,Intimate Apparel,10.5206788,-66.925289,"Lote 13, 14 y 15 Conjunto Urbano Industrial"
Intimark S. De R.L. De C.V. (Intimark II),Supp,SAP1,Intimate Apparel,,,Av. Ricardo Blanco S/N Esq. Preparatoria Colonia Barrio Primero
Marel de Mexico SA de CV,Supp,SAP1,Intimate Apparel,,,"Octaviano Ruiz Romero Lote 2 Mz 10, 2 Seccion Parque Industrial"
PT Ameya Livingstyle Indonesia,Supp,SAP1,Apparel,-7.8728225,110.293665,"Dusun Gupawarak, Sendangsari, Pajangan, Bantul, Kel. Trimurti, Kec. Srandakan"
PT Bangun Maju Lestari,Supp,SAP1,Apparel,-7.5692667,110.902677,"Jalan Mojo Kilometer 3, Dusun Bulu, Kel. Jaten, Kec. Jaten"
PT Visionland Global Apparel,Supp,SAP1,Apparel,-6.7494641,108.329876,"Jl. Raya Beusi Tegalaren Blok Tetelar Sagandu, Kel. Tegalaren, Kec. Ligung"
PT. Bomin Permata Abadi,Supp,SAP1,Intimate Apparel,-6.7406159,110.74087,"JL Raya Jepara - Kudus, RT004/RW002 Sengonbugel, Mayong"
PT Handsome,Supp,SAP1,Apparel,-6.4893056,107.686647,Kp. Ciela Rt. 01 Rw. 01 Ds. Wanakerta Kec. Purwadadi Kab. Subang
PT Sadua Indo,Supp,SAP1,Intimate Apparel,-7.393577,110.508883,"Dusun Gintungan, RT.19 RW.11 Desa Butuh, Kec. Tengaran"
PT. Hansoll Indo Klaten,Supp,SAP1,Apparel/Intimate Apparel,-7.7396606,110.494842,"JL. Bugisan, Kel. Bugisan, Kec. Prambanan, Kab. Klaten, Prov. Jawa Tengah"
PT Cartini Lingerie Indonesia,Supp,SAP1,Intimate Apparel,-7.5409678,110.64669,"Dukuh Tegalsari RT 001 RW 004, Desa Randusari, Kecamatan Teras, Boyolali"
PT Hop Lun Indonesia,Supp,SAP1,Intimate Apparel,-7.1802299,110.475366,"Dusun Kemasan RT 09/RW 05 Desa Klepu, Kec. Pringapus, Kab. Semarang"
PT MAS ARYA Indonesia,Supp,SAP1,Intimate Apparel,-7.0889714,110.299604,"Dukun, Nglorok RT.002-RW.003, Desa Campurejo, Kec. Boja, Kab. Kendal"
Intimate Fashions (India) Pvt Ltd.,Supp,SAP1,Intimate Apparel,12.7303628,80.1890413,"No:518-520, Thiruporur Kottamedu High Road, Nandhivaram, Guduvancheri,, Chengalpattu Taluk"
Intimate Fashions (India) Pvt Ltd. II,Supp,SAP1,Intimate Apparel,12.6742275,79.9774208,"A1 F2, Industrial Area, Maraimalai Nagar, Chengalpet,, Chengalpattu Taluk,"
Brandix Apparel India (Pvt) Ltd - Unit I,Supp,SAP1,Intimate Apparel,17.4927131,83.0027674,"Plot 18, BIAC SEZ, Pudimadaka Road, Atchutapuram Mandal"
Brandix Apparel India (Pvt) Ltd - Unit II,Supp,SAP1,Intimate Apparel,17.5257933,82.9896672,"Unit II, Plot#7, BIAZ SEZ, Pudimadaka Road, Atchutapuram Mandal"
Brandix Intimate India Private Limited,Supp,SAP1,Intimate Apparel,17.5346977,82.9880274,"Plot No.11, BIAC, APSEZ, Pudimadaka Road, Atchuthapuram Mandal"
Linea Fashions (India) Pvt Ltd. - Factory 2,Supp,SAP1,Intimate Apparel,10.2261119,78.2294535,"AP-10, Second Cross Road, Apparel & Fashion Accessories SEZ,, Natham Sub Post Office, Mahindra World City"
John Stuart Bennett (Guangzhou) Mfg Ltd,Supp,SAP1,Intimate Apparel,22.894837,113.426914,"Block 10, South of Shi Lian Rd, Shiji Village, Shiji Town, Panyu District"
Martin Emprex Textiles (Zhongshan-China) Ltd,Supp,SAP1,Intimate Apparel,22.4166369,113.32265,"Golden-Bell Industrial Area, Banfu Town, (1,4,5,7 floors of Block A)"
Zhongshan Wema Textiles Limited,Supp,SAP1,Intimate Apparel,22.4166369,113.32265,"Block D, Block E, Half of Floor 2 and Floor 3 at Block A, No.1, Golden Bell Avenue, Banfu Town"
Zhejiang Delta Garments Co Ltd,Supp,SAP1,Intimate Apparel,,,"No.1100 Qian Yuan Road, JiJu Industrial Park, NianSanLi Street"
Guangzhou GJM Garment Manufacturing Factory Ltd,Supp,SAP1,Intimate Apparel,22.9377199,113.38424,"West half A10 Bldg; 1F to 3F East half A10 Bldg; No.2 of 4F East half A10 Bldg;, 1F to 3F East A9 Bldg and 401; No.363, Yu Shan Xi Road, Shatou Street, Panyu District,"
Guangdong Ruiyuan Techonology Co Ltd,Supp,SAP1,Intimate Apparel,,,"Building 93, Zhu Yuan, Chi Wei Street"
